year,month,area_of_origin,estimated_dollar_loss,civilian_casualties,extent_of_fire,ignition_source,fire_alarm_system,smoke_alarm_at_fire_origin,sprinkler_system,status_of_fire_on_arrival,fire_alarm_system_impact_on_evacuation
2018,Spring,81 - Engine Area,15000,0,1 - Confined to object of origin,1 - Confined to object of origin,No System,No System,No System,"3 - Fire with smoke showing only - including vehicle, outdoor fires","8 - Not applicable: No fire alarm system, no persons present"
2018,Spring,27 - Laundry Area,3000,0,2 - Confined to part of room/area of origin,2 - Confined to part of room/area of origin,No System,Presents and Operated,No System,"3 - Fire with smoke showing only - including vehicle, outdoor fires",1 - All persons (at risk of injury) evacuated as a result of hearing fire alarm system
2018,Spring,"73 - Parking Area, Parking Lot",1000,0,1 - Confined to object of origin,1 - Confined to object of origin,System Presents and Operated,Presents and Operated,Presents and Activated,1 - Fire extinguished prior to arrival,1 - All persons (at risk of injury) evacuated as a result of hearing fire alarm system
2018,Winter,81 - Engine Area,10000,0,1 - Confined to object of origin,1 - Confined to object of origin,No System,No System,No System,"7 - Fully involved (total structure, vehicle, spreading outdoor fire)","8 - Not applicable: No fire alarm system, no persons present"
2018,Winter,24 - Cooking Area or Kitchen,600,0,1 - Confined to object of origin,1 - Confined to object of origin,No System,System Presents,No System,2 - Fire with no evidence from street,7 - Not applicable: Occupant(s) first alerted by other means
2018,Winter,"22 - Sleeping Area or Bedroom (inc. patients room, dormitory, etc)",3000,0,1 - Confined to object of origin,1 - Confined to object of origin,System Presents and Operated,Presents and Operated,Presents and Activated,1 - Fire extinguished prior to arrival,1 - All persons (at risk of injury) evacuated as a result of hearing fire alarm system
2018,Winter,55 - Mechanical/Electrical Services Room,30000,4,2 - Confined to part of room/area of origin,2 - Confined to part of room/area of origin,System Presents,No System,No System,"3 - Fire with smoke showing only - including vehicle, outdoor fires",NA
2018,Winter,97 - Other - unclassified,5000,0,1 - Confined to object of origin,1 - Confined to object of origin,System Presents,No System,No System,1 - Fire extinguished prior to arrival,1 - All persons (at risk of injury) evacuated as a result of hearing fire alarm system
2018,Winter,83 - Electrical Systems,3000,0,1 - Confined to object of origin,1 - Confined to object of origin,System Presents and Operated,Presents and Operated,System Presents,9 - Unclassified,1 - All persons (at risk of injury) evacuated as a result of hearing fire alarm system
2018,Winter,79 - Other Outside Area,5000,0,1 - Confined to object of origin,1 - Confined to object of origin,No System,No System,No System,"3 - Fire with smoke showing only - including vehicle, outdoor fires","8 - Not applicable: No fire alarm system, no persons present"
2018,Winter,24 - Cooking Area or Kitchen,200,0,2 - Confined to part of room/area of origin,2 - Confined to part of room/area of origin,System Presents and Operated,Presents and Operated,System Presents,1 - Fire extinguished prior to arrival,2 - Some persons (at risk) evacuated as a result of hearing fire alarm system
2018,Spring,"44 - Trash, Rubbish Storage (inc garbage chute room, garbage/industri",0,0,1 - Confined to object of origin,1 - Confined to object of origin,System Presents and Operated,Presents and Operated,Presents and Activated,9 - Unclassified,3 - No one (at risk) evacuated as a result of hearing fire alarm system
2018,Spring,24 - Cooking Area or Kitchen,800,0,1 - Confined to object of origin,1 - Confined to object of origin,System Presents and Operated,System Presents,No System,2 - Fire with no evidence from street,1 - All persons (at risk of injury) evacuated as a result of hearing fire alarm system
2018,Spring,"25 - Washroom or Bathroom (toilet,restroom/locker room)",100,1,1 - Confined to object of origin,1 - Confined to object of origin,System Presents and Operated,Presents and Operated,System Presents,2 - Fire with no evidence from street,2 - Some persons (at risk) evacuated as a result of hearing fire alarm system
2018,Spring,61 - Exterior Wall,2000,0,1 - Confined to object of origin,1 - Confined to object of origin,System Presents and Operated,Presents and Operated,No System,1 - Fire extinguished prior to arrival,1 - All persons (at risk of injury) evacuated as a result of hearing fire alarm system
2018,Spring,64 - Porch or Balcony,300,0,2 - Confined to part of room/area of origin,2 - Confined to part of room/area of origin,System Presents,System Presents,System Presents,2 - Fire with no evidence from street,7 - Not applicable: Occupant(s) first alerted by other means
2018,Winter,"52 - HVAC Equipment Room (furnace room, water heater closet, boiler)",25000,0,1 - Confined to object of origin,1 - Confined to object of origin,System Presents and Operated,Presents and Operated,No System,2 - Fire with no evidence from street,1 - All persons (at risk of injury) evacuated as a result of hearing fire alarm system
2018,Winter,24 - Cooking Area or Kitchen,500,0,2 - Confined to part of room/area of origin,2 - Confined to part of room/area of origin,No System,Presents and Operated,No System,1 - Fire extinguished prior to arrival,1 - All persons (at risk of injury) evacuated as a result of hearing fire alarm system
2018,Winter,24 - Cooking Area or Kitchen,10000,0,2 - Confined to part of room/area of origin,2 - Confined to part of room/area of origin,No System,System Presents,No System,2 - Fire with no evidence from street,"8 - Not applicable: No fire alarm system, no persons present"
2018,Winter,55 - Mechanical/Electrical Services Room,2500,0,2 - Confined to part of room/area of origin,2 - Confined to part of room/area of origin,System Presents and Operated,Presents and Operated,No System,"3 - Fire with smoke showing only - including vehicle, outdoor fires",1 - All persons (at risk of injury) evacuated as a result of hearing fire alarm system
2018,Winter,"22 - Sleeping Area or Bedroom (inc. patients room, dormitory, etc)",5000,0,1 - Confined to object of origin,1 - Confined to object of origin,No System,Presents and Operated,No System,1 - Fire extinguished prior to arrival,"8 - Not applicable: No fire alarm system, no persons present"
2018,Spring,"12 - Hallway, Corridor",20,0,1 - Confined to object of origin,1 - Confined to object of origin,System Presents and Operated,Presents and Operated,System Presents,1 - Fire extinguished prior to arrival,3 - No one (at risk) evacuated as a result of hearing fire alarm system
2018,Spring,62 - Roof,700,0,1 - Confined to object of origin,1 - Confined to object of origin,System Presents,No System,System Presents,9 - Unclassified,NA
2018,Spring,27 - Laundry Area,2500,0,2 - Confined to part of room/area of origin,2 - Confined to part of room/area of origin,No System,Presents and Operated,No System,2 - Fire with no evidence from street,"8 - Not applicable: No fire alarm system, no persons present"
2018,Spring,64 - Porch or Balcony,4000,0,2 - Confined to part of room/area of origin,2 - Confined to part of room/area of origin,System Presents and Operated,Presents and Operated,No System,"4 - Flames showing from small area (one storey or less, part of a vehicle, outdoor)",3 - No one (at risk) evacuated as a result of hearing fire alarm system
2018,Spring,64 - Porch or Balcony,2500,0,1 - Confined to object of origin,1 - Confined to object of origin,System Presents,No System,No System,"3 - Fire with smoke showing only - including vehicle, outdoor fires",7 - Not applicable: Occupant(s) first alerted by other means
2018,Spring,"52 - HVAC Equipment Room (furnace room, water heater closet, boiler)",1000,0,2 - Confined to part of room/area of origin,2 - Confined to part of room/area of origin,No System,Presents and Operated,No System,1 - Fire extinguished prior to arrival,"8 - Not applicable: No fire alarm system, no persons present"
2018,Spring,24 - Cooking Area or Kitchen,5000,0,1 - Confined to object of origin,1 - Confined to object of origin,System Presents and Operated,Presents and Operated,System Presents,1 - Fire extinguished prior to arrival,1 - All persons (at risk of injury) evacuated as a result of hearing fire alarm system
2018,Spring,"75 - Trash, rubbish area (outside)",5000,0,NA,NA,System Presents,Presents and Operated,System Presents,"4 - Flames showing from small area (one storey or less, part of a vehicle, outdoor)",NA
2018,Spring,"31 - Process Manufacturing (inc manf, prod assembly, repair)",0,0,1 - Confined to object of origin,1 - Confined to object of origin,System Presents and Operated,Presents and Operated,System Presents,1 - Fire extinguished prior to arrival,NA
